epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,6609.21,0.85929,1.31553,0.5911,1.17396,0.77308,0.61905,0.74765,0.58897,0.77308,0.61905,0.74732,0.47941,0.96929,1.96089,1.57272,1.31907,0.0019043,0.0019043,0.0019043
31,6750.2,0.91615,1.323,0.65336,1.20668,0.99826,0.60317,0.74683,0.57852,0.99826,0.60317,0.7479,0.46963,1.12222,1.91401,1.3573,1.39512,0.001901,0.001901,0.001901
32,6891.58,0.93991,1.36176,0.60718,1.24732,0.98687,0.85714,0.89748,0.71624,0.98687,0.85714,0.89805,0.56019,0.90587,1.81873,0.84759,1.28434,0.0018977,0.0018977,0.0018977
33,7032.56,0.91717,1.35747,0.60049,1.24217,0.86926,0.84433,0.92143,0.66381,0.85361,0.84127,0.87573,0.56058,1.09255,1.84042,0.95708,1.40315,0.0018944,0.0018944,0.0018944
34,7173.73,0.88964,1.34087,0.5755,1.23035,0.88701,0.68534,0.81757,0.5974,0.88701,0.68534,0.81234,0.45855,1.09009,2.08744,1.37618,1.43522,0.0018911,0.0018911,0.0018911
35,7315.01,0.88898,1.36139,0.58318,1.20213,0.82156,0.65873,0.83776,0.56056,0.83119,0.65873,0.80861,0.50151,1.35503,1.92178,1.05985,1.64423,0.0018878,0.0018878,0.0018878
36,7455.5,0.9372,1.33503,0.65734,1.24473,0.74089,0.57937,0.65317,0.30391,0.55344,0.4328,0.4134,0.13854,2.05471,4.78487,1.99074,2.63275,0.0018845,0.0018845,0.0018845
37,7596.56,0.87261,1.3138,0.61256,1.21629,0.57294,0.56433,0.64193,0.44339,0.60784,0.51666,0.59176,0.35727,1.41404,2.43195,1.80217,1.86824,0.0018812,0.0018812,0.0018812
38,7737.58,0.89293,1.35953,0.62344,1.21585,0.49526,0.62698,0.67985,0.52099,0.49169,0.61111,0.66119,0.39487,0.95831,1.94485,2.25427,1.32886,0.0018779,0.0018779,0.0018779
39,7877.78,0.89153,1.34908,0.59255,1.20946,0.52095,0.75397,0.70176,0.52605,0.51546,0.74603,0.70282,0.4227,0.99244,1.92022,1.37318,1.33649,0.0018746,0.0018746,0.0018746
40,8019.08,0.89532,1.32515,0.5859,1.1886,0.98978,0.76869,0.85756,0.69056,0.98978,0.76869,0.85756,0.56789,0.92797,1.65991,1.1318,1.28637,0.0018713,0.0018713,0.0018713
41,8159.58,0.81624,1.22933,0.53988,1.18829,0.91306,0.66679,0.7827,0.59853,0.91306,0.66679,0.78396,0.47855,1.0203,1.94935,1.33841,1.35528,0.001868,0.001868,0.001868
42,8299.79,0.87339,1.34049,0.6007,1.17839,1,0.77004,0.89785,0.68755,1,0.77004,0.89785,0.59635,0.98462,1.73287,1.07992,1.29206,0.0018647,0.0018647,0.0018647
43,8441.36,0.82755,1.29182,0.55345,1.17961,0.9149,0.64286,0.81593,0.67527,0.9149,0.64286,0.81724,0.56756,0.88268,1.71481,1.25412,1.19427,0.0018614,0.0018614,0.0018614
44,8582.02,0.86152,1.28501,0.5936,1.18249,0.76483,0.67112,0.83688,0.67899,0.76483,0.67112,0.8364,0.51752,0.83302,1.98973,1.17081,1.21481,0.0018581,0.0018581,0.0018581
45,8723.52,0.8351,1.25362,0.55795,1.17499,0.87479,0.66667,0.76146,0.58838,0.87479,0.66667,0.76146,0.48885,0.94097,1.82052,1.87175,1.29451,0.0018548,0.0018548,0.0018548
46,8864.49,0.88054,1.41966,0.62316,1.23082,0.92222,0.69841,0.78983,0.63026,0.92222,0.69841,0.78983,0.52511,0.95569,1.7921,1.51988,1.33415,0.0018515,0.0018515,0.0018515
47,9004.7,0.88076,1.26898,0.57771,1.2167,0.81421,0.64286,0.79219,0.63819,0.81421,0.64286,0.79404,0.53833,0.92471,1.85417,1.21426,1.25201,0.0018482,0.0018482,0.0018482
48,9145.88,0.82256,1.21983,0.51916,1.16088,0.89594,0.68333,0.86046,0.66651,0.89594,0.68333,0.859,0.56564,0.93555,1.70945,0.98192,1.28817,0.0018449,0.0018449,0.0018449
49,9286.88,0.83541,1.25049,0.5273,1.16488,0.88066,0.73016,0.85766,0.66915,0.88066,0.73016,0.85766,0.58692,0.97679,1.54755,0.97915,1.29317,0.0018416,0.0018416,0.0018416
